step,samples,episodes,epoch,loss,grad_norm,lr,update_s,data_s
15000,980000,16000,4.07,0.289,1.98,0.0001,0.115,0.006
15000,982000,16000,4.08,0.294,2.107,0.0001,0.112,0.009
15000,983000,16000,4.08,0.293,2.125,0.0001,0.119,0.007
15000,984000,16000,4.09,0.298,2.15,0.0001,0.109,0.007
15000,986000,16000,4.09,0.297,2.138,0.0001,0.111,0.008
15000,987000,16000,4.1,0.294,1.882,0.0001,0.122,0.01
15000,988000,17000,4.1,0.299,1.916,0.0001,0.114,0.006
15000,989000,17000,4.11,0.296,2.055,0.0001,0.113,0.006
15000,991000,17000,4.11,0.286,1.897,0.0001,0.118,0.007
16000,992000,17000,4.12,0.298,2.068,0.0001,0.111,0.006
16000,993000,17000,4.13,0.293,2.127,0.0001,0.107,0.006
16000,995000,17000,4.13,0.288,2.096,0.0001,0.109,0.006
16000,996000,17000,4.14,0.295,2.278,0.0001,0.114,0.006
16000,997000,17000,4.14,0.293,2.104,0.0001,0.116,0.006
16000,998000,17000,4.15,0.296,2.013,0.0001,0.105,0.007
16000,1000000,17000,4.15,0.289,1.858,0.0001,0.114,0.006
16000,1000000,17000,4.16,0.287,1.944,0.0001,0.11,0.006
16000,1000000,17000,4.16,0.295,1.88,0.0001,0.113,0.008
16000,1000000,17000,4.17,0.292,1.992,0.0001,0.111,0.006
16000,1000000,17000,4.17,0.281,1.819,0.0001,0.113,0.006
16000,1000000,17000,4.18,0.3,2.003,0.0001,0.11,0.006
16000,1000000,17000,4.18,0.295,2.312,0.0001,0.11,0.009
16000,1000000,17000,4.19,0.296,2.206,0.0001,0.12,0.007
16000,1000000,17000,4.19,0.292,2.026,0.0001,0.115,0.007
16000,1000000,17000,4.2,0.293,2.117,0.0001,0.112,0.007
16000,1000000,17000,4.21,0.292,2.118,0.0001,0.121,0.006
16000,1000000,17000,4.21,0.297,2.361,0.0001,0.117,0.005
16000,1000000,17000,4.22,0.293,2.749,0.0001,0.117,0.006
16000,1000000,17000,4.22,0.288,2.238,0.0001,0.119,0.006
16000,1000000,17000,4.23,0.296,2.085,0.0001,0.115,0.006
16000,1000000,17000,4.23,0.297,2.001,0.0001,0.12,0.006
16000,1000000,17000,4.24,0.298,1.951,0.0001,0.117,0.006
16000,1000000,17000,4.24,0.297,2.235,0.0001,0.116,0.007
16000,1000000,17000,4.25,0.292,1.963,0.0001,0.119,0.006
16000,1000000,17000,4.25,0.291,1.871,0.0001,0.123,0.007
16000,1000000,17000,4.26,0.286,1.899,0.0001,0.109,0.006
16000,1000000,17000,4.26,0.288,1.729,0.0001,0.116,0.008
16000,1000000,17000,4.27,0.295,1.877,0.0001,0.115,0.007
16000,1000000,17000,4.27,0.291,1.924,0.0001,0.112,0.006
16000,1000000,17000,4.28,0.293,2.004,0.0001,0.118,0.006
16000,1000000,17000,4.28,0.292,2.024,0.0001,0.114,0.006
16000,1000000,17000,4.29,0.29,2.228,0.0001,0.12,0.007
16000,1000000,17000,4.3,0.289,1.902,0.0001,0.12,0.006
16000,1000000,17000,4.3,0.296,1.872,0.0001,0.121,0.005
16000,1000000,17000,4.31,0.288,1.987,0.0001,0.127,0.008
16000,1000000,17000,4.31,0.297,1.985,0.0001,0.123,0.007
16000,1000000,17000,4.32,0.298,1.908,0.0001,0.125,0.007
16000,1000000,17000,4.32,0.292,2.068,0.0001,0.117,0.01
16000,1000000,17000,4.33,0.299,2.004,0.0001,0.114,0.006
16000,1000000,17000,4.33,0.286,1.898,0.0001,0.107,0.008
16000,1000000,17000,4.34,0.295,2.201,0.0001,0.118,0.009
16000,1000000,17000,4.34,0.295,2.392,0.0001,0.115,0.008
16000,1000000,17000,4.35,0.307,2.522,0.0001,0.11,0.006
16000,1000000,18000,4.35,0.296,2.319,0.0001,0.116,0.011
16000,1000000,18000,4.36,0.296,2.172,0.0001,0.109,0.008
16000,1000000,18000,4.36,0.292,1.975,0.0001,0.113,0.007
16000,1000000,18000,4.37,0.291,1.954,0.0001,0.124,0.01
16000,1000000,18000,4.38,0.29,1.848,0.0001,0.11,0.006
16000,1000000,18000,4.38,0.298,2.042,0.0001,0.113,0.006
16000,1000000,18000,4.39,0.291,2.263,0.0001,0.118,0.01
17000,1000000,18000,4.39,0.287,1.954,0.0001,0.104,0.006
17000,1000000,18000,4.4,0.286,2.023,0.0001,0.115,0.006
17000,1000000,18000,4.4,0.282,1.934,0.0001,0.106,0.01
17000,1000000,18000,4.41,0.287,2.023,0.0001,0.109,0.006
17000,1000000,18000,4.41,0.292,1.926,0.0001,0.109,0.008
17000,1000000,18000,4.42,0.293,1.95,0.0001,0.11,0.007
17000,1000000,18000,4.42,0.296,1.965,0.0001,0.108,0.006
17000,1000000,18000,4.43,0.293,2.121,0.0001,0.109,0.006
17000,1000000,18000,4.43,0.297,1.934,0.0001,0.111,0.005
17000,1000000,18000,4.44,0.288,1.858,0.0001,0.108,0.005
17000,1000000,18000,4.44,0.292,1.871,0.0001,0.11,0.005
17000,1000000,18000,4.45,0.29,1.781,0.0001,0.113,0.005
17000,1000000,18000,4.46,0.288,1.92,0.0001,0.111,0.006
17000,1000000,18000,4.46,0.28,1.906,0.0001,0.118,0.007
17000,1000000,18000,4.47,0.293,1.965,0.0001,0.115,0.006
17000,1000000,18000,4.47,0.294,2.389,0.0001,0.115,0.007
17000,1000000,18000,4.48,0.292,2.352,0.0001,0.118,0.006
17000,1000000,18000,4.48,0.284,2.346,0.0001,0.113,0.007
17000,1000000,18000,4.49,0.298,2.04,0.0001,0.117,0.007
17000,1000000,18000,4.49,0.296,1.921,0.0001,0.113,0.007
17000,1000000,18000,4.5,0.298,2.168,0.0001,0.11,0.007
17000,1000000,18000,4.5,0.294,2.111,0.0001,0.114,0.006
17000,1000000,18000,4.51,0.293,1.961,0.0001,0.111,0.006
17000,1000000,18000,4.51,0.29,1.941,0.0001,0.113,0.006
17000,1000000,18000,4.52,0.295,1.994,0.0001,0.111,0.006
17000,1000000,18000,4.52,0.295,2.036,0.0001,0.106,0.006
17000,1000000,18000,4.53,0.291,2.064,0.0001,0.117,0.007
17000,1000000,18000,4.53,0.291,2.205,0.0001,0.116,0.007
17000,1000000,18000,4.54,0.287,1.897,0.0001,0.114,0.007
17000,1000000,18000,4.55,0.293,1.987,0.0001,0.116,0.006
17000,1000000,18000,4.55,0.295,2.075,0.0001,0.118,0.005
17000,1000000,18000,4.56,0.292,1.994,0.0001,0.127,0.007
17000,1000000,18000,4.56,0.301,2.4,0.0001,0.118,0.006
17000,1000000,18000,4.57,0.29,2.126,0.0001,0.122,0.005
17000,1000000,18000,4.57,0.294,2.092,0.0001,0.123,0.009
17000,1000000,18000,4.58,0.294,1.975,0.0001,0.113,0.008
17000,1000000,18000,4.58,0.291,2.149,0.0001,0.114,0.006
17000,1000000,18000,4.59,0.293,2.628,0.0001,0.125,0.008
17000,1000000,18000,4.59,0.293,2.4,0.0001,0.108,0.007
17000,1000000,18000,4.6,0.282,2.172,0.0001,0.107,0.008
17000,1000000,19000,4.6,0.289,2.431,0.0001,0.113,0.006
17000,1000000,19000,4.61,0.292,1.877,0.0001,0.118,0.008
17000,1000000,19000,4.61,0.296,1.829,0.0001,0.108,0.008
17000,1000000,19000,4.62,0.285,2.103,0.0001,0.108,0.007
17000,1000000,19000,4.63,0.287,1.798,0.0001,0.114,0.009
17000,1000000,19000,4.63,0.282,1.943,0.0001,0.114,0.006
17000,1000000,19000,4.64,0.293,2.157,0.0001,0.112,0.006
17000,1000000,19000,4.64,0.292,1.925,0.0001,0.119,0.008
17000,1000000,19000,4.65,0.288,2.063,0.0001,0.111,0.006
18000,1000000,19000,4.65,0.285,1.766,0.0001,0.105,0.006
18000,1000000,19000,4.66,0.29,1.889,0.0001,0.111,0.007
18000,1000000,19000,4.66,0.287,1.938,0.0001,0.113,0.009
18000,1000000,19000,4.67,0.291,1.943,0.0001,0.108,0.006
18000,1000000,19000,4.67,0.294,2.245,0.0001,0.108,0.007
18000,1000000,19000,4.68,0.288,2.177,0.0001,0.11,0.007
18000,1000000,19000,4.68,0.287,1.921,0.0001,0.11,0.007
18000,1000000,19000,4.69,0.289,1.895,0.0001,0.114,0.006
18000,1000000,19000,4.69,0.284,1.902,0.0001,0.11,0.005
18000,1000000,19000,4.7,0.286,2.175,0.0001,0.106,0.007
18000,1000000,19000,4.7,0.284,1.891,0.0001,0.107,0.009
18000,1000000,19000,4.71,0.281,1.978,0.0001,0.117,0.006
18000,1000000,19000,4.72,0.293,1.933,0.0001,0.12,0.006
18000,1000000,19000,4.72,0.286,1.935,0.0001,0.116,0.006
18000,1000000,19000,4.73,0.289,2.255,0.0001,0.114,0.006
18000,1000000,19000,4.73,0.288,2.032,0.0001,0.118,0.007
18000,1000000,19000,4.74,0.283,1.791,0.0001,0.114,0.007
18000,1000000,19000,4.74,0.284,1.665,0.0001,0.115,0.005
18000,1000000,19000,4.75,0.284,1.918,0.0001,0.115,0.005
18000,1000000,19000,4.75,0.284,1.928,0.0001,0.116,0.006
18000,1000000,19000,4.76,0.29,2.124,0.0001,0.118,0.005
18000,1000000,19000,4.76,0.286,2.384,0.0001,0.116,0.006
18000,1000000,19000,4.77,0.289,1.97,0.0001,0.114,0.006
18000,1000000,19000,4.77,0.293,2.066,0.0001,0.113,0.005
18000,1000000,19000,4.78,0.296,2.056,0.0001,0.115,0.005
18000,1000000,19000,4.78,0.29,2.484,0.0001,0.115,0.006
18000,1000000,19000,4.79,0.288,2.062,0.0001,0.108,0.006
18000,1000000,19000,4.8,0.29,2.211,0.0001,0.114,0.006
18000,1000000,19000,4.8,0.287,2.019,0.0001,0.114,0.005
18000,1000000,19000,4.81,0.285,1.938,0.0001,0.112,0.007
18000,1000000,19000,4.81,0.29,2.224,0.0001,0.112,0.007
18000,1000000,19000,4.82,0.289,2.023,0.0001,0.114,0.006
18000,1000000,19000,4.82,0.288,1.975,0.0001,0.113,0.007
18000,1000000,19000,4.83,0.279,1.855,0.0001,0.119,0.008
18000,1000000,19000,4.83,0.282,2.004,0.0001,0.119,0.007
18000,1000000,19000,4.84,0.293,2.091,0.0001,0.12,0.008
18000,1000000,19000,4.84,0.294,1.954,0.0001,0.114,0.006
18000,1000000,19000,4.85,0.29,1.831,0.0001,0.109,0.006
18000,1000000,20000,4.85,0.288,1.854,0.0001,0.123,0.007
18000,1000000,20000,4.86,0.286,1.998,0.0001,0.112,0.006
18000,1000000,20000,4.86,0.294,1.988,0.0001,0.11,0.006
18000,1000000,20000,4.87,0.284,1.92,0.0001,0.119,0.008
18000,1000000,20000,4.87,0.286,1.817,0.0001,0.106,0.006
18000,1000000,20000,4.88,0.281,1.79,0.0001,0.11,0.007
18000,1000000,20000,4.89,0.276,1.935,0.0001,0.11,0.009
18000,1000000,20000,4.89,0.287,2.142,0.0001,0.118,0.008
18000,1000000,20000,4.9,0.282,2.034,0.0001,0.111,0.006
18000,1000000,20000,4.9,0.292,1.981,0.0001,0.115,0.008
18000,1000000,20000,4.91,0.285,2.0,0.0001,0.124,0.009
18000,1000000,20000,4.91,0.288,1.937,0.0001,0.11,0.009
18000,1000000,20000,4.92,0.286,2.07,0.0001,0.107,0.009
19000,1000000,20000,4.92,0.287,1.808,0.0001,0.111,0.011
19000,1000000,20000,4.93,0.29,1.924,0.0001,0.11,0.006
19000,1000000,20000,4.93,0.288,1.991,0.0001,0.109,0.006
19000,1000000,20000,4.94,0.289,1.97,0.0001,0.119,0.007
19000,1000000,20000,4.94,0.286,1.901,0.0001,0.111,0.006
19000,1000000,20000,4.95,0.282,1.847,0.0001,0.107,0.006
19000,1000000,20000,4.95,0.286,1.831,0.0001,0.112,0.006
19000,1000000,20000,4.96,0.28,1.922,0.0001,0.121,0.006
19000,1000000,20000,4.97,0.286,2.074,0.0001,0.116,0.006
19000,1000000,20000,4.97,0.282,1.872,0.0001,0.121,0.007
19000,1000000,20000,4.98,0.285,1.854,0.0001,0.118,0.006
19000,1000000,20000,4.98,0.285,2.009,0.0001,0.114,0.006
19000,1000000,20000,4.99,0.284,1.848,0.0001,0.118,0.007
19000,1000000,20000,4.99,0.28,1.815,0.0001,0.112,0.007
19000,1000000,20000,5.0,0.282,2.002,0.0001,0.117,0.007
19000,1000000,20000,5.0,0.274,1.986,0.0001,0.111,0.096
19000,1000000,20000,5.01,0.288,2.388,0.0001,0.121,0.006
19000,1000000,20000,5.01,0.279,2.083,0.0001,0.113,0.007
19000,1000000,20000,5.02,0.281,1.915,0.0001,0.117,0.005
19000,1000000,20000,5.02,0.275,1.769,0.0001,0.116,0.006
19000,1000000,20000,5.03,0.273,1.836,0.0001,0.118,0.007
19000,1000000,20000,5.03,0.282,1.929,0.0001,0.115,0.006
19000,1000000,20000,5.04,0.279,1.726,0.0001,0.114,0.005
19000,1000000,20000,5.05,0.275,1.631,0.0001,0.116,0.005
19000,1000000,20000,5.05,0.272,1.629,0.0001,0.114,0.006
19000,1000000,20000,5.06,0.274,1.65,0.0001,0.109,0.006
19000,1000000,20000,5.06,0.272,1.717,0.0001,0.119,0.005
19000,1000000,20000,5.07,0.277,1.713,0.0001,0.115,0.005
19000,1000000,20000,5.07,0.284,1.797,0.0001,0.119,0.006
19000,1000000,20000,5.08,0.281,1.91,0.0001,0.12,0.005
19000,1000000,20000,5.08,0.278,1.827,0.0001,0.122,0.007
19000,1000000,20000,5.09,0.275,1.8,0.0001,0.12,0.006
19000,1000000,20000,5.09,0.266,1.783,0.0001,0.116,0.007
19000,1000000,21000,5.1,0.274,1.699,0.0001,0.116,0.006
19000,1000000,21000,5.1,0.274,1.946,0.0001,0.113,0.006
19000,1000000,21000,5.11,0.269,1.722,0.0001,0.118,0.008
19000,1000000,21000,5.11,0.276,1.649,0.0001,0.109,0.01
19000,1000000,21000,5.12,0.286,1.858,0.0001,0.111,0.007
19000,1000000,21000,5.12,0.263,1.788,0.0001,0.123,0.008
19000,1000000,21000,5.13,0.277,1.795,0.0001,0.112,0.006
19000,1000000,21000,5.14,0.275,2.005,0.0001,0.111,0.007
19000,1000000,21000,5.14,0.28,1.658,0.0001,0.111,0.007
19000,1000000,21000,5.15,0.283,1.94,0.0001,0.116,0.008
19000,1000000,21000,5.15,0.279,1.985,0.0001,0.114,0.007
19000,1000000,21000,5.16,0.279,1.689,0.0001,0.115,0.008
19000,1000000,21000,5.16,0.273,1.804,0.0001,0.118,0.007
19000,1000000,21000,5.17,0.276,1.885,0.0001,0.111,0.007
19000,1000000,21000,5.17,0.276,1.78,0.0001,0.113,0.007
19000,1000000,21000,5.18,0.278,1.876,0.0001,0.121,0.009
20000,1000000,21000,5.18,0.278,2.222,0.0001,0.115,0.006
20000,1000000,21000,5.19,0.275,2.021,0.0001,0.11,0.007
20000,1000000,21000,5.19,0.276,1.778,0.0001,0.124,0.007
20000,1000000,21000,5.2,0.281,2.018,0.0001,0.104,0.005
20000,1000000,21000,5.2,0.277,1.852,0.0001,0.108,0.005
20000,1000000,21000,5.21,0.269,1.981,0.0001,0.117,0.006
20000,1000000,21000,5.22,0.278,1.785,0.0001,0.107,0.006
20000,1000000,21000,5.22,0.274,1.804,0.0001,0.106,0.005
20000,1000000,21000,5.23,0.286,2.006,0.0001,0.11,0.007
20000,1000000,21000,5.23,0.277,1.936,0.0001,0.119,0.006
20000,1000000,21000,5.24,0.277,2.128,0.0001,0.107,0.005
20000,1000000,21000,5.24,0.277,1.821,0.0001,0.102,0.005
20000,1000000,21000,5.25,0.271,1.766,0.0001,0.111,0.007
20000,1000000,21000,5.25,0.274,1.694,0.0001,0.116,0.005
20000,1000000,21000,5.26,0.28,1.82,0.0001,0.119,0.006
20000,1000000,21000,5.26,0.269,1.93,0.0001,0.113,0.006
20000,1000000,21000,5.27,0.276,1.995,0.0001,0.115,0.005
20000,1000000,21000,5.27,0.275,2.08,0.0001,0.116,0.006
20000,1000000,21000,5.28,0.277,2.1,0.0001,0.114,0.005
20000,1000000,21000,5.28,0.277,2.045,0.0001,0.104,0.006
20000,1000000,21000,5.29,0.271,1.907,0.0001,0.109,0.006
20000,1000000,21000,5.29,0.278,1.733,0.0001,0.117,0.006
20000,1000000,21000,5.3,0.277,1.891,0.0001,0.111,0.007
20000,1000000,21000,5.31,0.271,1.698,0.0001,0.111,0.006
20000,1000000,21000,5.31,0.279,1.789,0.0001,0.122,0.006
20000,1000000,21000,5.32,0.278,1.782,0.0001,0.112,0.008
20000,1000000,21000,5.32,0.269,1.772,0.0001,0.103,0.005
20000,1000000,21000,5.33,0.275,1.742,0.0001,0.115,0.007
20000,1000000,21000,5.33,0.27,1.702,0.0001,0.118,0.006
20000,1000000,21000,5.34,0.274,1.991,0.0001,0.12,0.006
20000,1000000,21000,5.34,0.279,2.078,0.0001,0.116,0.006
20000,1000000,22000,5.35,0.275,1.986,0.0001,0.12,0.007
20000,1000000,22000,5.35,0.269,2.072,0.0001,0.117,0.008
20000,1000000,22000,5.36,0.28,1.938,0.0001,0.114,0.006
20000,1000000,22000,5.36,0.277,2.284,0.0001,0.121,0.008
20000,1000000,22000,5.37,0.279,1.917,0.0001,0.112,0.006
20000,1000000,22000,5.37,0.281,1.933,0.0001,0.113,0.006
20000,1000000,22000,5.38,0.277,1.887,0.0001,0.125,0.008
20000,1000000,22000,5.39,0.28,2.016,0.0001,0.111,0.005
20000,1000000,22000,5.39,0.272,1.922,0.0001,0.112,0.006
20000,1000000,22000,5.4,0.277,2.055,0.0001,0.106,0.008
20000,1000000,22000,5.4,0.281,1.854,0.0001,0.12,0.008
20000,1000000,22000,5.41,0.274,2.067,0.0001,0.113,0.007
20000,1000000,22000,5.41,0.278,1.97,0.0001,0.111,0.006
20000,1000000,22000,5.42,0.279,2.028,0.0001,0.12,0.01
20000,1000000,22000,5.42,0.27,1.987,0.0001,0.119,0.006
20000,1000000,22000,5.43,0.271,1.738,0.0001,0.112,0.007
20000,1000000,22000,5.43,0.276,1.675,0.0001,0.12,0.011
20000,1000000,22000,5.44,0.269,1.739,0.0001,0.104,0.007
20000,1000000,22000,5.44,0.271,1.721,0.0001,0.11,0.006
20000,1000000,22000,5.45,0.273,1.908,0.0001,0.125,0.008
21000,1000000,22000,5.45,0.273,2.103,0.0001,0.111,0.008
21000,1000000,22000,5.46,0.269,1.842,0.0001,0.108,0.009
21000,1000000,22000,5.47,0.282,2.101,0.0001,0.114,0.006
21000,1000000,22000,5.47,0.276,1.873,0.0001,0.109,0.006
21000,1000000,22000,5.48,0.277,1.828,0.0001,0.111,0.006
21000,1000000,22000,5.48,0.277,1.884,0.0001,0.112,0.006
21000,1000000,22000,5.49,0.281,1.799,0.0001,0.118,0.008
21000,1000000,22000,5.49,0.284,2.041,0.0001,0.113,0.007
21000,1000000,22000,5.5,0.272,1.901,0.0001,0.113,0.006
21000,1000000,22000,5.5,0.266,1.932,0.0001,0.116,0.006
21000,1000000,22000,5.51,0.266,2.027,0.0001,0.119,0.006
21000,1000000,22000,5.51,0.272,1.818,0.0001,0.115,0.007
21000,1000000,22000,5.52,0.273,1.792,0.0001,0.114,0.006
21000,1000000,22000,5.52,0.27,1.943,0.0001,0.113,0.006
21000,1000000,22000,5.53,0.267,1.781,0.0001,0.116,0.005
21000,1000000,22000,5.53,0.27,1.835,0.0001,0.121,0.007
21000,1000000,22000,5.54,0.266,1.9,0.0001,0.116,0.006
21000,1000000,22000,5.54,0.275,1.793,0.0001,0.114,0.007
21000,1000000,22000,5.55,0.268,1.718,0.0001,0.111,0.005
21000,1000000,22000,5.56,0.27,1.771,0.0001,0.114,0.005
21000,1000000,22000,5.56,0.273,1.747,0.0001,0.109,0.007
21000,1000000,22000,5.57,0.271,1.859,0.0001,0.114,0.005
21000,1000000,22000,5.57,0.273,1.787,0.0001,0.11,0.006
21000,1000000,22000,5.58,0.27,1.833,0.0001,0.116,0.007
21000,1000000,22000,5.58,0.275,1.789,0.0001,0.12,0.006
21000,1000000,22000,5.59,0.272,2.176,0.0001,0.113,0.008
21000,1000000,22000,5.59,0.274,1.762,0.0001,0.12,0.006
21000,1000000,23000,5.6,0.268,1.761,0.0001,0.123,0.007
21000,1000000,23000,5.6,0.272,1.743,0.0001,0.123,0.006
21000,1000000,23000,5.61,0.268,1.696,0.0001,0.118,0.006
21000,1000000,23000,5.61,0.272,1.82,0.0001,0.12,0.007
21000,1000000,23000,5.62,0.27,2.136,0.0001,0.113,0.006
21000,1000000,23000,5.62,0.276,1.868,0.0001,0.115,0.006
21000,1000000,23000,5.63,0.271,1.882,0.0001,0.121,0.011
21000,1000000,23000,5.64,0.274,2.126,0.0001,0.112,0.008
21000,1000000,23000,5.64,0.265,1.732,0.0001,0.111,0.006
21000,1000000,23000,5.65,0.273,1.765,0.0001,0.123,0.009
21000,1000000,23000,5.65,0.265,1.668,0.0001,0.115,0.006
21000,1000000,23000,5.66,0.272,2.019,0.0001,0.109,0.007
21000,1000000,23000,5.66,0.266,1.722,0.0001,0.117,0.009
21000,1000000,23000,5.67,0.275,1.785,0.0001,0.112,0.006
21000,1000000,23000,5.67,0.267,1.85,0.0001,0.107,0.006
21000,1000000,23000,5.68,0.28,1.887,0.0001,0.121,0.006
21000,1000000,23000,5.68,0.266,1.644,0.0001,0.112,0.007
21000,1000000,23000,5.69,0.271,1.7,0.0001,0.109,0.006
21000,1000000,23000,5.69,0.267,1.652,0.0001,0.109,0.006
21000,1000000,23000,5.7,0.266,1.794,0.0001,0.117,0.01
21000,1000000,23000,5.7,0.264,1.928,0.0001,0.11,0.005
21000,1000000,23000,5.71,0.282,1.864,0.0001,0.113,0.005
22000,1000000,23000,5.71,0.264,1.847,0.0001,0.117,0.009
22000,1000000,23000,5.72,0.276,1.871,0.0001,0.106,0.006
22000,1000000,23000,5.73,0.278,1.894,0.0001,0.11,0.007
22000,1000000,23000,5.73,0.267,1.754,0.0001,0.112,0.008
22000,1000000,23000,5.74,0.257,2.05,0.0001,0.106,0.005
22000,1000000,23000,5.74,0.271,1.719,0.0001,0.115,0.005
22000,1000000,23000,5.75,0.266,1.665,0.0001,0.123,0.005
22000,1000000,23000,5.75,0.27,1.637,0.0001,0.114,0.006
22000,1000000,23000,5.76,0.271,1.652,0.0001,0.118,0.008
22000,1000000,23000,5.76,0.266,1.814,0.0001,0.112,0.005
22000,1000000,23000,5.77,0.274,1.806,0.0001,0.119,0.008
22000,1000000,23000,5.77,0.272,1.838,0.0001,0.122,0.006
22000,1000000,23000,5.78,0.272,2.014,0.0001,0.113,0.007
22000,1000000,23000,5.78,0.264,1.687,0.0001,0.116,0.007
22000,1000000,23000,5.79,0.267,1.712,0.0001,0.113,0.007
22000,1000000,23000,5.79,0.267,1.746,0.0001,0.108,0.006
22000,1000000,23000,5.8,0.269,1.812,0.0001,0.117,0.006
22000,1000000,23000,5.81,0.266,2.014,0.0001,0.118,0.006
22000,1000000,23000,5.81,0.266,1.938,0.0001,0.112,0.006
22000,1000000,23000,5.82,0.277,1.988,0.0001,0.123,0.006
22000,1000000,23000,5.82,0.264,1.785,0.0001,0.113,0.006
22000,1000000,23000,5.83,0.263,1.814,0.0001,0.113,0.006
22000,1000000,23000,5.83,0.268,1.883,0.0001,0.112,0.007
22000,1000000,23000,5.84,0.273,1.865,0.0001,0.116,0.006
22000,1000000,23000,5.84,0.27,1.928,0.0001,0.121,0.006
22000,1000000,24000,5.85,0.269,1.838,0.0001,0.118,0.006
22000,1000000,24000,5.85,0.269,1.732,0.0001,0.113,0.006
22000,1000000,24000,5.86,0.267,1.84,0.0001,0.126,0.006
22000,1000000,24000,5.86,0.268,1.809,0.0001,0.12,0.006
22000,1000000,24000,5.87,0.27,1.839,0.0001,0.125,0.006
22000,1000000,24000,5.87,0.269,1.749,0.0001,0.116,0.006
22000,1000000,24000,5.88,0.286,1.816,0.0001,0.13,0.007
22000,1000000,24000,5.89,0.275,2.061,0.0001,0.124,0.006
22000,1000000,24000,5.89,0.271,2.027,0.0001,0.115,0.009
22000,1000000,24000,5.9,0.273,2.278,0.0001,0.115,0.007
22000,1000000,24000,5.9,0.265,2.257,0.0001,0.109,0.006
22000,1000000,24000,5.91,0.269,2.038,0.0001,0.121,0.009
22000,1000000,24000,5.91,0.27,1.745,0.0001,0.114,0.006
22000,1000000,24000,5.92,0.26,1.545,0.0001,0.112,0.007
22000,1000000,24000,5.92,0.267,1.871,0.0001,0.121,0.009
22000,1000000,24000,5.93,0.271,1.599,0.0001,0.11,0.008
22000,1000000,24000,5.93,0.263,1.531,0.0001,0.109,0.006
22000,1000000,24000,5.94,0.276,2.477,0.0001,0.119,0.008
22000,1000000,24000,5.94,0.27,1.903,0.0001,0.113,0.006
22000,1000000,24000,5.95,0.276,1.758,0.0001,0.108,0.007
22000,1000000,24000,5.95,0.263,1.93,0.0001,0.117,0.006
22000,1000000,24000,5.96,0.27,1.863,0.0001,0.122,0.009
22000,1000000,24000,5.96,0.274,2.082,0.0001,0.109,0.006
22000,1000000,24000,5.97,0.277,1.741,0.0001,0.11,0.007
22000,1000000,24000,5.98,0.267,1.688,0.0001,0.12,0.009
22000,1000000,24000,5.98,0.265,2.368,0.0001,0.106,0.006
23000,1000000,24000,5.99,0.276,1.892,0.0001,0.118,0.008
23000,1000000,24000,5.99,0.272,1.803,0.0001,0.119,0.008
23000,1000000,24000,6.0,0.272,1.854,0.0001,0.107,0.005
23000,1000000,24000,6.0,0.269,1.839,0.0001,0.099,0.094
23000,1000000,24000,6.01,0.261,1.669,0.0001,0.108,0.006
23000,1000000,24000,6.01,0.268,1.762,0.0001,0.108,0.006
23000,1000000,24000,6.02,0.258,1.667,0.0001,0.111,0.007
